text,intent
You are kind.,CHITCHAT
That's interesting.,CHITCHAT
Haha good one.,CHITCHAT
You are so smart.,CHITCHAT
I trust you.,CHITCHAT
Stay safe.,CHITCHAT
Take care.,CHITCHAT
You rock!,CHITCHAT
Excellent work.,CHITCHAT
Haha lol.,CHITCHAT
That’s awesome.,CHITCHAT
You're brilliant.,CHITCHAT
I admire you.,CHITCHAT
Good work.,CHITCHAT
That was cool.,CHITCHAT
Thank you very much.,CHITCHAT
